"id","timecode","priority","status","category","description","source_url","rights_status","suggested_filename","edit_notes"
"A01","1:10–2:20; 8:05–12:10","P0","TODO","primary document","January 1782 list of thirty girls","https://www.e-rara.ch/gep_r/content/zoom/31278574","confirm e-rara/BGE reuse terms","A01_bge-thirty-girls-list_Gf1341-3-2303_1782.jpg","Download high-res; verify names; make Pernette and Elisabeth crops"
"A02","2:05–2:12; 3:40–4:04; 8:29","P0","TODO","primary document","Companion list with fathers","https://www.e-rara.ch/gep_r/content/zoom/31278744","confirm e-rara/BGE reuse terms","A02_bge-fathers-list_Gf1341-3-2304_1782.jpg","Pair only verified father/daughter names"
"A03","2:52–5:20; 7:14–9:22","P0","REFERENCE","research document","Marc Cramer 1946 article","https://www.sses.swiss/journal/archive/pdf/1946-II-2.pdf/","short transformative excerpts; cite pages","A03_cramer-1946_reference.pdf","Targets pp. 109–10, 115–16, 118–19"
"A04","5:31–6:09","P0","TODO","public-domain image","Anne Audéoud plaster bust","https://www.metmuseum.org/art/collection/search/199036","Public Domain; Met Open Access","A04_anne-audeoud-bust_MET_42-23-2.jpg","Download both views; label wider circle not 1782 list"
"A05","0:57; 3:40; 6:20–7:14; 9:22; 10:12","P0","TODO","historical map","Chalmandrier plan of Geneva 1773","https://commons.wikimedia.org/wiki/File:1773_map,_Chalmandrier_-_plan_de_Gen%C3%A8ve_(cropped).jpg","underlying PD; check selected scan/crop licence","A05_geneva-map_Chalmandrier_1773.jpg","Prefer original Gallica source if rights clearer"
"A06","9:58–10:12","P1","TODO","historical engraving","Return of Geneva General Council 1789","https://commons.wikimedia.org/wiki/File:1789-02-10_Christian_Gottlieb_Geissler_gravure_eau-forte_aquarell%C3%A9e_Le_retour_du_Conseil_g%C3%A9n%C3%A9ral_tenu_le_10_f%C3%A9vrier_1789_(Biblioth%C3%A8que_de_Gen%C3%A8ve).jpg","CC0 on file page","A06_geneva-council-return_Geissler_1789.jpg","Use as 2-second period inset only"
"A07","9:47; 10:40–11:00","P0","TODO","web source excerpt","City of Geneva response on Elisabeth-Pauline","https://www.geneve.ch/themes/culture/bibliotheques/interroge/reponses/je-cherche-des-informations-biographiques-concernant-elisabeth-pauline-de-chapeaurouge-1778-1862","editorial excerpt; link source","A07_elisabeth-pauline_city-geneva_reference.png","Use minimum screenshot needed"
"A08","6:40–8:05","P1","REQUEST","archive request","Geneva State Archives proof-of-life and contracts","https://archives-etat-ge.ch/","item-specific permission","A08_AEG_request-notes.md","Highest-value missing item is a genuine proof-of-life certificate"
"A09","0:16–0:24; 4:49–5:20","P0","REFERENCE","book source","Rebecca Spang Stuff and Money","https://www.hup.harvard.edu/books/9780674975422","cite; avoid scanned pages unless justified","A09_spang-2015_reference.md","pp. 19–28"
"A10","4:49–5:00","P2","REVIEW","historical medical image","Smallpox inoculation/vaccination instructions","https://commons.wikimedia.org/wiki/File:Instructions_for_the_vaccine_inoculation_of_Smallpox_Wellcome_L0040288.jpg","verify file licence and historical fit","A10_smallpox-inoculation_Wellcome_context.jpg","Label illustrative; may depict later vaccination"
"A11","research only","P2","REFERENCE","secondary source","100Elles Thirty Immortals page","https://100elles.ch/biographies/trente-immortelles-de-geneve/","research lead only unless rights cleared","A11_100elles_reference.md","Useful for local context"
"A12","research only","P2","REFERENCE","secondary source","Forster contextual article","https://journals.openedition.org/articulo/891","citation source; check media rights","A12_forster_reference.md","Terminology and context"
"V01","0:57; 6:52; 12:03","P0","TODO","stock video exact","Geneva Old Town drone by Mahir Abbas","https://www.pexels.com/video/drone-footage-of-buildings-in-the-old-town-of-geneva-city-10881678/","Pexels licence; save receipt","V01_geneva-old-town-drone_Mahir-Abbas_Pexels.mp4","Use as geographic reset; not as 1780s footage"
"V02","0:33; transitions","P0","TODO","stock video exact","Quill writing in vintage journal by Placidplace","https://pixabay.com/videos/writing-journal-book-vintage-107189/","Pixabay Content License; save receipt","V02_quill-journal_Placidplace_Pixabay.mp4","Keep writing illegible; atmosphere only"
"V03","6:40–8:05","P1","SELECT","stock video search","Wax seal macro","https://www.pexels.com/search/videos/wax%20seal/","select item and record creator/licence","V03_wax-seal_[creator]_Pexels.mp4","Neutral seal, no crest or logo"
"V04","9:35–11:00","P1","SELECT","stock video search","Old library aisle","https://pixabay.com/videos/search/old%20library/","select item and record creator/licence","V04_old-library_[creator]_Pixabay.mp4","Archive reset"
"V05","1:10–2:20; 5:00–5:20","P1","SELECT","stock video search","Handwriting macro","https://www.pexels.com/search/videos/handwriting/","select item and record creator/licence","V05_handwriting_[creator]_Pexels.mp4","Avoid modern pen and legible modern copy"
"V06","chapter resets","P2","SELECT","stock video search","Old books macro","https://www.pexels.com/search/videos/old%20books/","select item and record creator/licence","V06_old-books_[creator]_Pexels.mp4","Use once or twice"
"V07","0:00–0:33","P1","SELECT","stock video search","Vintage interior slow push","https://www.pexels.com/search/videos/vintage%20interior/","select item and record creator/licence","V07_vintage-interior_[creator]_Pexels.mp4","No modern fixtures; generic atmosphere"
"V08","3:52–4:04; 6:20–6:31","P2","SELECT","stock video search","Old European street","https://www.pexels.com/search/videos/old%20european%20street/","select item and record creator/licence","V08_stone-street_[creator]_Pexels.mp4","Do not label Geneva unless exact"
"V09","7:14–7:39","P1","SELECT","stock video search","Old letter or envelope","https://www.pexels.com/search/videos/old%20letter/","select item and record creator/licence","V09_old-letter_[creator]_Pexels.mp4","Crop modern postmarks/text"
"V10","9:47–10:40","P2","SELECT","stock video search","Antique clock movement","https://www.pexels.com/search/videos/antique%20clock/","select item and record creator/licence","V10_antique-clock_[creator]_Pexels.mp4","One abstract use only"
"V11","6:31–6:40; 10:51","P2","SELECT","stock video search","Empty chair in old room","https://www.pexels.com/search/videos/empty%20chair/","select item and record creator/licence","V11_empty-chair_[creator]_Pexels.mp4","No horror grade"
"V12","5:20–5:44","P2","SELECT","stock video search","Museum sculpture transition","https://www.pexels.com/search/videos/sculpture%20museum/","select item and record creator/licence","V12_museum-sculpture_[creator]_Pexels.mp4","Never substitute sculpture for Anne"
"V13","7:52–8:05","P1","SELECT","stock video search","Hands sorting documents","https://www.pexels.com/search/videos/sorting%20documents/","select item and record creator/licence","V13_sorting-documents_[creator]_Pexels.mp4","Hide devices/logos"
"V14","map transitions","P2","SELECT","stock video search","Old map macro","https://www.pexels.com/search/videos/old%20map/","select item and record creator/licence","V14_old-map_[creator]_Pexels.mp4","Decorative only; use A05 for evidence"
"V15","source transitions","P2","SELECT","stock video search","Quill writing pool","https://pixabay.com/videos/search/quill%20writing/","select item and record creator/licence","V15_quill-alt_[creator]_Pixabay.mp4","Optional alternate"
"V16","room atmosphere","P2","SELECT","stock video search","Candlelit old room","https://www.pexels.com/search/videos/candlelight%20room/","select item and record creator/licence","V16_candle-room_[creator]_Pexels.mp4","Never extinguish candle at death beat"
"V17","6:20–6:31; 11:27","P2","SELECT","stock video search","Horse carriage detail","https://www.pexels.com/search/videos/horse%20carriage/","select item and record creator/licence","V17_carriage_[creator]_Pexels.mp4","Close crop; no literal claim"
"V18","6:40–8:05","P2","SELECT","stock video search","Wax seal alternate","https://pixabay.com/videos/search/wax%20seal/","select item and record creator/licence","V18_wax-seal_[creator]_Pixabay.mp4","Optional alternate to V03"
"V19","transitions","P2","SELECT","stock video search","Old paper motion texture","https://www.pexels.com/search/videos/old%20paper/","select item and record creator/licence","V19_old-paper_[creator]_Pexels.mp4","Subtle overlay only"
"V20","10:40–12:10","P2","SELECT","stock video search","Archive boxes or storage","https://www.pexels.com/search/videos/archive/","select item and record creator/licence","V20_archive-storage_[creator]_Pexels.mp4","Avoid modern labels"
"G01","0:00–0:33","P0","GENERATE","reconstruction background","Empty 1784 reception room","internal prompt 04","AI-generated; label reconstruction","G01_reception-room_wide_v01.png","Also make desk angle and clean plate"
"G02","0:05–0:16","P1","GENERATE","prop sheet","Anonymous arrival fragments","internal prompt 04","AI-generated; no faces","G02_arrival-fragments_v01.png","Six separable panels"
"G03","0:11–0:16","P2","GENERATE","editorial prop","Child-height measure at doorway","internal prompt 04","AI-generated","G03_child-height-rule_v01.png","No numbers or people"
"G04","0:41–0:50","P1","GENERATE","prop sheet","Thirty blank name slips","internal prompt 04","AI-generated","G04_thirty-name-slips_v01.png","Add verified text in Resolve"
"G05","0:50–1:03","P1","GENERATE","editorial metaphor","Green payment thread","internal prompt 04","AI-generated","G05_payment-thread_v01.png","No text"
"G06","0:57; 6:20–7:39","P0","GENERATE","map background","Clean engraved western Europe map","internal prompt 04","AI-generated; geography check","G06_europe-map-base_v01.png","Add labels/routes in Fusion"
"G07","1:40–2:05","P2","GENERATE","still life","Age-range objects","internal prompt 04","AI-generated","G07_age-range-objects_v01.png","No children"
"G08","2:20–3:40","P0","GENERATE","transparent prop sheet","Annuity props","internal prompt 04","AI-generated","G08_annuity-props_v01.png","Coins, slips, contract, seal, token"
"G09","2:42–2:52","P2","GENERATE","editorial metaphor","Payment line stops","internal prompt 04","AI-generated","G09_payment-stops_v01.png","No death cliché"
"G10","3:01–3:14","P2","GENERATE","reconstruction prop","Owner versus measuring-life hands","internal prompt 04","AI-generated","G10_owner-life-hands_v01.png","Anonymous adult hands only"
"G11","3:14–3:28","P1","GENERATE","diagram prop","Six blank miniature frames","internal prompt 04","AI-generated","G11_six-blank-frames_v01.png","No faces"
"G12","3:52–4:04; 9:22","P1","GENERATE","reconstruction exterior","Generic Genevan townhouse","internal prompt 04","AI-generated; label reconstruction","G12_genevan-townhouse_v01.png","Never identify as real family home"
"G13","4:04–4:15","P1","GENERATE","still life","Care tabletop","internal prompt 04","AI-generated","G13_care-tabletop_v01.png","Food linen doctor case"
"G14","4:15–4:38","P2","GENERATE","still life","Military coat and travel trunk","internal prompt 04","AI-generated","G14_military-departure_v01.png","No battle or flag"
"G15","4:38–4:49","P2","GENERATE","transparent diagram prop","City gate and two paths","internal prompt 04","AI-generated","G15_city-gate_v01.png","No signs or people"
"G16","4:49–5:00","P1","GENERATE","medical prop sheet","Period medical items","internal prompt 04","AI-generated; label illustrative","G16_medical-props_v01.png","Non-gory; verify plausibility"
"G17","5:00–5:20","P1","GENERATE","reconstruction detail","Anonymous hand away from quill","internal prompt 04","AI-generated; no identity","G17_unsigned-line_v01.png","Hand does not touch pen"
"G18","5:20–5:31","P0","GENERATE","editorial background","Thirty empty portrait frames","internal prompt 04","AI-generated","G18_empty-portrait-archive_v01.png","Exactly 30; no silhouettes"
"G19","5:31–6:09","P1","GENERATE","compositing background","Museum background extension","internal prompt 04","AI-generated","G19_anne-museum-background_v01.png","Background only; do not alter bust"
"G20","6:09–6:20","P2","GENERATE","transparent prop sheet","Marriage and surname cards","internal prompt 04","AI-generated","G20_surname-props_v01.png","Add names later"
"G21","6:31–6:40","P1","GENERATE","reconstruction still","Empty chair and unopened letter","internal prompt 04","AI-generated","G21_empty-chair-letter_v01.png","Administrative uncertainty"
"G22","6:40–8:05","P0","GENERATE","illustrative document kit","Blank proof-of-life certificate","internal prompt 04","AI-generated; label illustrative","G22_certificate-kit_v01.png","Never present as archival"
